
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Raumlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
    30.00   -10.00    -7.47    48.81    38.69    20.72    16.48    -2.09    -1.72     1.93    29.68   -10.03     0.00     0.00
    30.00   -15.00    -4.25    48.71    41.08    20.72    15.73    -2.09    -1.72     2.18    29.68   -15.08     0.00     0.00
    30.00   -20.00    -0.22    48.58    43.43    20.72    15.09    -2.09    -1.75     2.42    29.68   -20.14     0.00     0.00
    30.00   -25.00     4.73    48.43    45.75    20.72    14.67    -2.09    -1.79     2.66    29.68   -25.22     0.00     0.00
    30.00   -30.00    10.81    48.24    48.03    20.72    14.65    -2.09    -1.87     2.89    29.68   -30.33     0.00     0.00
    30.00   -35.00    18.28    48.01    50.25    20.72    15.29    -2.09    -1.97     3.13    29.68   -35.46     0.00     0.00
    30.00   -40.00    27.60    47.73    52.41    20.72    16.99    -2.09    -2.11     3.37    29.68   -40.62     0.00     0.00
    30.00   -45.00    39.48    47.36    54.49    20.72    20.43    -2.09    -2.30     3.61    29.68   -45.80     0.00     0.00
    30.00   -50.00    55.10    46.88    56.44    20.72    26.76    -2.09    -2.55     3.85    29.68   -51.00     0.00     0.00
    30.00   -55.00    76.65    46.22    58.20    20.72    38.15    -2.09    -2.89     4.09    29.68   -56.24     0.00     0.00
    30.00   -60.00   108.67    45.23    59.62    20.72    59.32    -2.09    -3.36     4.32    29.68   -61.51     0.00     0.00
    30.00   -65.00   163.06    43.56    60.36    20.72   103.36    -2.09    -4.04     4.56    29.68   -66.78     0.00     0.00
    30.00   -70.00   298.24    39.40    58.65    20.72   243.04    -2.09    -5.23     4.80    29.68   -71.93     0.00     0.00
    30.00   -75.00   454.18    34.60    55.07    20.72   431.35    -2.09    -6.00     4.93    29.68   -74.04     0.00  -658.47
    30.00   -80.00   463.37    34.32    55.51    20.72   405.99    -2.09    -6.03     5.00    29.68   -75.69     0.00 -1511.53
    35.00     0.00   -17.58    48.44    30.80    20.87    18.00    -2.17    -1.75     1.70    34.57     0.00     0.00     0.00
    35.00     5.00   -19.18    48.48    28.33    20.87    18.68    -2.17    -1.79     1.46    34.57     4.99     0.00     0.00
    35.00    10.00   -19.98    48.49    25.84    20.87    19.28    -2.17    -1.83     1.21    34.57     9.96     0.00     0.00
    35.00    15.00   -19.82    48.49    23.32    20.87    19.79    -2.17    -1.89     0.97    34.57    14.91     0.00     0.00
    35.00    20.00   -18.45    48.46    20.77    20.87    20.19    -2.17    -1.95     0.73    34.57    19.85     0.00     0.00
    35.00    25.00   -15.38    48.39    18.18    20.87    20.50    -2.17    -2.02     0.49    34.57    24.78     0.00     0.00
    35.00    30.00    -9.78    48.27    15.53    20.87    20.72    -2.17    -2.09     0.24    34.57    29.68     0.00     0.00
    35.00    35.00     0.00    48.06    12.78    20.87    20.87    -2.17    -2.17     0.00    34.57    34.57     0.00     0.00
    35.00    40.00    17.56    47.69     9.86    20.87    20.96    -2.17    -2.26    -0.24    34.57    39.45     0.00     0.00
    35.00    45.00    52.57    46.94     6.57    20.87    21.02    -2.17    -2.34    -0.49    34.57    44.31     0.00     0.00
    35.00    50.00   142.42    45.02     2.09    20.87    21.06    -2.17    -2.44    -0.73    34.57    49.16     0.00     0.00
    35.00    55.00   703.17    33.01   -12.47    20.87    21.12    -2.17    -2.53    -0.98    34.57    53.99     0.00     0.00
    35.00    60.00  -601.17    60.94    12.90    20.87    21.24    -2.17    -2.62    -1.23    34.57    58.81     0.00     0.00
    35.00    65.00  -283.93    54.14     3.54    20.87    21.45    -2.17    -2.72    -1.47    34.57    63.61     0.00     0.00
    35.00    70.00  -212.79    52.62    -0.56    20.87    21.80    -2.17    -2.81    -1.72    34.57    68.40     0.00     0.00
    35.00    75.00  -182.97    51.98    -3.77    20.87    22.35    -2.17    -2.91    -1.97    34.57    73.17     0.00     0.00
    35.00    80.00  -167.60    51.65    -6.68    20.87    23.15    -2.17    -3.00    -2.22    34.57    77.93     0.00     0.00
    35.00     0.00   -17.58    48.44    30.80    20.87    18.00    -2.17    -1.75     1.70    34.57     0.00     0.00     0.00
    35.00    -5.00   -15.26    48.39    33.25    20.87    17.25    -2.17    -1.73     1.94    34.57    -5.01     0.00     0.00
    35.00   -10.00   -12.24    48.33    35.67    20.87    16.48    -2.17    -1.72     2.18    34.57   -10.03     0.00     0.00
    35.00   -15.00    -8.50    48.25    38.08    20.87    15.73    -2.17    -1.72     2.42    34.57   -15.08     0.00     0.00
    35.00   -20.00    -3.96    48.15    40.46    20.87    15.09    -2.17    -1.75     2.66    34.57   -20.14     0.00     0.00
    35.00   -25.00     1.51    48.03    42.82    20.87    14.67    -2.17    -1.79     2.90    34.57   -25.22     0.00     0.00
    35.00   -30.00     8.10    47.89    45.14    20.87    14.65    -2.17    -1.87     3.14    34.57   -30.33     0.00     0.00
    35.00   -35.00    16.13    47.72    47.42    20.87    15.29    -2.17    -1.97     3.38    34.57   -35.46     0.00     0.00
    35.00   -40.00    26.06    47.51    49.66    20.87    16.99    -2.17    -2.11     3.62    34.57   -40.62     0.00     0.00
    35.00   -45.00    38.64    47.24    51.83    20.87    20.43    -2.17    -2.30     3.86    34.57   -45.80     0.00     0.00
    35.00   -50.00    55.13    46.88    53.91    20.87    26.76    -2.17    -2.55     4.09    34.57   -51.00     0.00     0.00
    35.00   -55.00    77.85    46.40    55.84    20.87    38.15    -2.17    -2.89     4.33    34.57   -56.24     0.00     0.00
    35.00   -60.00   111.61    45.68    57.53    20.87    59.32    -2.17    -3.36     4.57    34.57   -61.51     0.00     0.00
    35.00   -65.00   169.20    44.44    58.71    20.87   103.36    -2.17    -4.04     4.80    34.57   -66.78     0.00     0.00
    35.00   -70.00   314.05    41.34    58.05    20.87   243.04    -2.17    -5.23     5.04    34.57   -71.93     0.00     0.00
    35.00   -75.00   484.42    37.69    55.63    20.87   431.35    -2.17    -6.00     5.18    34.57   -74.04     0.00  -658.47
    35.00   -80.00   494.24    37.48    56.13    20.87   405.99    -2.17    -6.03     5.25    34.57   -75.69     0.00 -1511.53
    40.00     0.00   -25.42    47.78    27.60    20.96    18.00    -2.26    -1.75     1.94    39.45     0.00     0.00     0.00
    40.00     5.00   -27.96    47.81    25.13    20.96    18.68    -2.26    -1.79     1.70    39.45     4.99     0.00     0.00
    40.00    10.00   -29.82    47.83    22.64    20.96    19.28    -2.26    -1.83     1.46    39.45     9.96     0.00     0.00
    40.00    15.00   -30.88    47.85    20.14    20.96    19.79    -2.26    -1.89     1.22    39.45    14.91     0.00     0.00
    40.00    20.00   -30.92    47.85    17.62    20.96    20.19    -2.26    -1.95     0.97    39.45    19.85     0.00     0.00
    40.00    25.00   -29.47    47.83    15.07    20.96    20.50    -2.26    -2.02     0.73    39.45    24.78     0.00     0.00
    40.00    30.00   -25.67    47.79    12.50    20.96    20.72    -2.26    -2.09     0.49    39.45    29.68     0.00     0.00
    40.00    35.00   -17.56    47.69     9.86    20.96    20.87    -2.26    -2.17     0.24    39.45    34.57     0.00     0.00
    40.00    40.00     0.00    47.48     7.11    20.96    20.96    -2.26    -2.26     0.00    39.45    39.45     0.00     0.00
    40.00    45.00    46.50    46.93     4.01    20.96    21.02    -2.26    -2.34    -0.24    39.45    44.31     0.00     0.00
    40.00    50.00   316.33    43.71    -1.75    20.96    21.06    -2.26    -2.44    -0.49    39.45    49.16     0.00     0.00
    40.00    55.00  -399.44    52.24     4.22    20.96    21.12    -2.26    -2.53    -0.74    39.45    53.99     0.00     0.00
    40.00    60.00  -198.27    49.84    -0.74    20.96    21.24    -2.26    -2.62    -0.98    39.45    58.81     0.00     0.00
    40.00    65.00  -157.19    49.35    -3.79    20.96    21.45    -2.26    -2.72    -1.23    39.45    63.61     0.00     0.00
    40.00    70.00  -141.08    49.16    -6.56    20.96    21.80    -2.26    -2.81    -1.48    39.45    68.40     0.00     0.00
    40.00    75.00  -133.55    49.07    -9.22    20.96    22.35    -2.26    -2.91    -1.72    39.45    73.17     0.00     0.00
    40.00    80.00  -129.98    49.03   -11.84    20.96    23.15    -2.26    -3.00    -1.97    39.45    77.93     0.00     0.00
    40.00     0.00   -25.42    47.78    27.60    20.96    18.00    -2.26    -1.75     1.94    39.45     0.00     0.00     0.00
    40.00    -5.00   -22.27    47.74    30.06    20.96    17.25    -2.26    -1.73     2.18    39.45    -5.01     0.00     0.00
    40.00   -10.00   -18.49    47.70    32.51    20.96    16.48    -2.26    -1.72     2.42    39.45   -10.03     0.00     0.00
    40.00   -15.00   -14.04    47.65    34.94    20.96    15.73    -2.26    -1.72     2.66    39.45   -15.08     0.00     0.00
    40.00   -20.00    -8.83    47.58    37.35    20.96    15.09    -2.26    -1.75     2.90    39.45   -20.14     0.00     0.00
    40.00   -25.00    -2.72    47.51    39.75    20.96    14.67    -2.26    -1.79     3.14    39.45   -25.22     0.00     0.00
    40.00   -30.00     4.52    47.43    42.13    20.96    14.65    -2.26    -1.87     3.38    39.45   -30.33     0.00     0.00
    40.00   -35.00    13.21    47.32    44.48    20.96    15.29    -2.26    -1.97     3.62    39.45   -35.46     0.00     0.00
    40.00   -40.00    23.86    47.20    46.81    20.96    16.99    -2.26    -2.11     3.86    39.45   -40.62     0.00     0.00
    40.00   -45.00    37.26    47.04    49.09    20.96    20.43    -2.26    -2.30     4.10    39.45   -45.80     0.00     0.00
    40.00   -50.00    54.75    46.83    51.31    20.96    26.76    -2.26    -2.55     4.34    39.45   -51.00     0.00     0.00
    40.00   -55.00    78.79    46.54    53.44    20.96    38.15    -2.26    -2.89     4.57    39.45   -56.24     0.00     0.00
    40.00   -60.00   114.53    46.11    55.43    20.96    59.32    -2.26    -3.36     4.81    39.45   -61.51     0.00     0.00
    40.00   -65.00   175.75    45.39    57.11    20.96   103.36    -2.26    -4.04     5.05    39.45   -66.78     0.00     0.00
    40.00   -70.00   331.82    43.53    57.70    20.96   243.04    -2.26    -5.23     5.29    39.45   -71.93     0.00     0.00
    40.00   -75.00   519.58    41.29    56.68    20.96   431.35    -2.26    -6.00     5.42    39.45   -74.04     0.00  -658.47
    40.00   -80.00   530.13    41.16    57.27    20.96   405.99    -2.26    -6.03     5.50    39.45   -75.69     0.00 -1511.53
    45.00     0.00   -35.91    46.90    24.17    21.02    18.00    -2.34    -1.75     2.19    44.31     0.00     0.00     0.00
    45.00     5.00   -39.91    46.91    21.68    21.02    18.68    -2.34    -1.79     1.94    44.31     4.99     0.00     0.00
    45.00    10.00   -43.53    46.92    19.18    21.02    19.28    -2.34    -1.83     1.70    44.31     9.96     0.00     0.00
    45.00    15.00   -46.76    46.93    16.67    21.02    19.79    -2.34    -1.89     1.46    44.31    14.91     0.00     0.00
    45.00    20.00   -49.57    46.93    14.15    21.02    20.19    -2.34    -1.95     1.22    44.31    19.85     0.00     0.00
    45.00    25.00   -51.81    46.94    11.63    21.02    20.50    -2.34    -2.02     0.98    44.31    24.78     0.00     0.00
    45.00    30.00   -53.13    46.94     9.10    21.02    20.72    -2.34    -2.09     0.73    44.31    29.68     0.00     0.00
    45.00    35.00   -52.57    46.94     6.57    21.02    20.87    -2.34    -2.17     0.49    44.31    34.57     0.00     0.00
    45.00    40.00   -46.50    46.93     4.01    21.02    20.96    -2.34    -2.26     0.24    44.31    39.45     0.00     0.00
    45.00    45.00     0.00    46.82     1.36    21.02    21.02    -2.34    -2.34     0.00    44.31    44.31     0.00     0.00
    45.00    50.00  -140.67    47.14    -0.87    21.02    21.06    -2.34    -2.44    -0.24    44.31    49.16     0.00     0.00
    45.00    55.00  -102.03    47.05    -3.51    21.02    21.12    -2.34    -2.53    -0.49    44.31    53.99     0.00     0.00
    45.00    60.00   -96.50    47.04    -6.09    21.02    21.24    -2.34    -2.62    -0.74    44.31    58.81     0.00     0.00
    45.00    65.00   -95.97    47.04    -8.66    21.02    21.45    -2.34    -2.72    -0.98    44.31    63.61     0.00     0.00
    45.00    70.00   -97.16    47.04   -11.22    21.02    21.80    -2.34    -2.81    -1.23    44.31    68.40     0.00     0.00
    45.00    75.00   -99.17    47.05   -13.79    21.02    22.35    -2.34    -2.91    -1.48    44.31    73.17     0.00     0.00
    45.00    80.00  -101.65    47.05   -16.37    21.02    23.15    -2.34    -3.00    -1.73    44.31    77.93     0.00     0.00
    45.00     0.00   -35.91    46.90    24.17    21.02    18.00    -2.34    -1.75     2.19    44.31     0.00     0.00     0.00
    45.00    -5.00   -31.51    46.89    26.66    21.02    17.25    -2.34    -1.73     2.43    44.31    -5.01     0.00     0.00
    45.00   -10.00   -26.65    46.88    29.14    21.02    16.48    -2.34    -1.72     2.67    44.31   -10.03     0.00     0.00
    45.00   -15.00   -21.23    46.87    31.61    21.02    15.73    -2.34    -1.72     2.91    44.31   -15.08     0.00     0.00
    45.00   -20.00   -15.14    46.85    34.08    21.02    15.09    -2.34    -1.75     3.15    44.31   -20.14     0.00     0.00
    45.00   -25.00    -8.19    46.84    36.53    21.02    14.67    -2.34    -1.79     3.39    44.31   -25.22     0.00     0.00
    45.00   -30.00    -0.14    46.82    38.98    21.02    14.65    -2.34    -1.87     3.63    44.31   -30.33     0.00     0.00
    45.00   -35.00     9.37    46.80    41.41    21.02    15.29    -2.34    -1.97     3.87    44.31   -35.46     0.00     0.00
    45.00   -40.00    20.88    46.77    43.84    21.02    16.99    -2.34    -2.11     4.11    44.31   -40.62     0.00     0.00
    45.00   -45.00    35.24    46.74    46.24    21.02    20.43    -2.34    -2.30     4.35    44.31   -45.80     0.00     0.00
    45.00   -50.00    53.88    46.70    48.63    21.02    26.76    -2.34    -2.55     4.58    44.31   -51.00     0.00     0.00
    45.00   -55.00    79.43    46.64    50.99    21.02    38.15    -2.34    -2.89     4.82    44.31   -56.24     0.00     0.00
    45.00   -60.00   117.44    46.55    53.32    21.02    59.32    -2.34    -3.36     5.06    44.31   -61.51     0.00     0.00
    45.00   -65.00   182.82    46.40    55.58    21.02   103.36    -2.34    -4.04     5.29    44.31   -66.78     0.00     0.00
    45.00   -70.00   352.09    46.02    57.64    21.02   243.04    -2.34    -5.23     5.53    44.31   -71.93     0.00     0.00
    45.00   -75.00   561.15    45.54    58.39    21.02   431.35    -2.34    -6.00     5.67    44.31   -74.04     0.00  -658.47
    45.00   -80.00   572.57    45.51    59.08    21.02   405.99    -2.34    -6.03     5.74    44.31   -75.69     0.00 -1511.53
    50.00     0.00   -50.12    45.71    20.43    21.06    18.00    -2.44    -1.75     2.43    49.16     0.00     0.00     0.00
    50.00     5.00   -56.47    45.66    17.88    21.06    18.68    -2.44    -1.79     2.19    49.16     4.99     0.00     0.00
    50.00    10.00   -63.10    45.61    15.32    21.06    19.28    -2.44    -1.83     1.95    49.16     9.96     0.00     0.00
    50.00    15.00   -70.37    45.56    12.75    21.06    19.79    -2.44    -1.89     1.71    49.16    14.91     0.00     0.00
    50.00    20.00   -78.92    45.49    10.16    21.06    20.19    -2.44    -1.95     1.46    49.16    19.85     0.00     0.00
    50.00    25.00   -90.04    45.41     7.55    21.06    20.50    -2.44    -2.02     1.22    49.16    24.78     0.00     0.00
    50.00    30.00  -107.06    45.28     4.89    21.06    20.72    -2.44    -2.09     0.98    49.16    29.68     0.00     0.00
    50.00    35.00  -142.42    45.02     2.09    21.06    20.87    -2.44    -2.17     0.73    49.16    34.57     0.00     0.00
    50.00    40.00  -316.33    43.71    -1.75    21.06    20.96    -2.44    -2.26     0.49    49.16    39.45     0.00     0.00
    50.00    45.00   140.67    47.14    -0.87    21.06    21.02    -2.44    -2.34     0.24    49.16    44.31     0.00     0.00
    50.00    50.00     0.00    46.08    -4.48    21.06    21.06    -2.44    -2.44     0.00    49.16    49.16     0.00     0.00
    50.00    55.00   -32.54    45.84    -7.28    21.06    21.12    -2.44    -2.53    -0.25    49.16    53.99     0.00     0.00
    50.00    60.00   -48.58    45.72    -9.96    21.06    21.24    -2.44    -2.62    -0.49    49.16    58.81     0.00     0.00
    50.00    65.00   -59.03    45.64   -12.60    21.06    21.45    -2.44    -2.72    -0.74    49.16    63.61     0.00     0.00
    50.00    70.00   -66.93    45.58   -15.23    21.06    21.80    -2.44    -2.81    -0.99    49.16    68.40     0.00     0.00
    50.00    75.00   -73.49    45.53   -17.86    21.06    22.35    -2.44    -2.91    -1.23    49.16    73.17     0.00     0.00
    50.00    80.00   -79.27    45.49   -20.48    21.06    23.15    -2.44    -3.00    -1.48    49.16    77.93     0.00     0.00
    50.00     0.00   -50.12    45.71    20.43    21.06    18.00    -2.44    -1.75     2.43    49.16     0.00     0.00     0.00
    50.00    -5.00   -43.82    45.76    22.97    21.06    17.25    -2.44    -1.73     2.67    49.16    -5.01     0.00     0.00
    50.00   -10.00   -37.37    45.80    25.51    21.06    16.48    -2.44    -1.72     2.91    49.16   -10.03     0.00     0.00
    50.00   -15.00   -30.59    45.85    28.05    21.06    15.73    -2.44    -1.72     3.15    49.16   -15.08     0.00     0.00
    50.00   -20.00   -23.29    45.91    30.58    21.06    15.09    -2.44    -1.75     3.39    49.16   -20.14     0.00     0.00
    50.00   -25.00   -15.25    45.97    33.11    21.06    14.67    -2.44    -1.79     3.63    49.16   -25.22     0.00     0.00
    50.00   -30.00    -6.16    46.04    35.65    21.06    14.65    -2.44    -1.87     3.87    49.16   -30.33     0.00     0.00
    50.00   -35.00     4.37    46.12    38.18    21.06    15.29    -2.44    -1.97     4.11    49.16   -35.46     0.00     0.00
    50.00   -40.00    16.93    46.21    40.73    21.06    16.99    -2.44    -2.11     4.35    49.16   -40.62     0.00     0.00
    50.00   -45.00    32.43    46.33    43.28    21.06    20.43    -2.44    -2.30     4.59    49.16   -45.80     0.00     0.00
    50.00   -50.00    52.42    46.48    45.86    21.06    26.76    -2.44    -2.55     4.83    49.16   -51.00     0.00     0.00
    50.00   -55.00    79.72    46.68    48.49    21.06    38.15    -2.44    -2.89     5.07    49.16   -56.24     0.00     0.00
    50.00   -60.00   120.33    46.99    51.20    21.06    59.32    -2.44    -3.36     5.30    49.16   -61.51     0.00     0.00
    50.00   -65.00   190.53    47.51    54.14    21.06   103.36    -2.44    -4.04     5.54    49.16   -66.78     0.00     0.00
    50.00   -70.00   375.57    48.90    57.98    21.06   243.04    -2.44    -5.23     5.78    49.16   -71.93     0.00     0.00
    50.00   -75.00   611.32    50.67    60.97    21.06   431.35    -2.44    -6.00     5.92    49.16   -74.04     0.00  -658.47
    50.00   -80.00   623.77    50.77    61.78    21.06   405.99    -2.44    -6.03     5.99    49.16   -75.69     0.00 -1511.53
    55.00     0.00   -69.81    44.05    16.22    21.12    18.00    -2.53    -1.75     2.68    53.99     0.00     0.00     0.00
    55.00     5.00   -80.12    43.88    13.53    21.12    18.68    -2.53    -1.79     2.44    53.99     4.99     0.00     0.00
    55.00    10.00   -92.22    43.66    10.81    21.12    19.28    -2.53    -1.83     2.19    53.99     9.96     0.00     0.00
    55.00    15.00  -107.60    43.40     8.03    21.12    19.79    -2.53    -1.89     1.95    53.99    14.91     0.00     0.00
    55.00    20.00  -129.36    43.02     5.13    21.12    20.19    -2.53    -1.95     1.71    53.99    19.85     0.00     0.00
    55.00    25.00  -165.70    42.38     1.97    21.12    20.50    -2.53    -2.02     1.47    53.99    24.78     0.00     0.00
    55.00    30.00  -247.77    40.95    -1.99    21.12    20.72    -2.53    -2.09     1.22    53.99    29.68     0.00     0.00
    55.00    35.00  -703.17    33.01   -12.47    21.12    20.87    -2.53    -2.17     0.98    53.99    34.57     0.00     0.00
    55.00    40.00   399.44    52.24     4.22    21.12    20.96    -2.53    -2.26     0.74    53.99    39.45     0.00     0.00
    55.00    45.00   102.03    47.05    -3.51    21.12    21.02    -2.53    -2.34     0.49    53.99    44.31     0.00     0.00
    55.00    50.00    32.54    45.84    -7.28    21.12    21.06    -2.53    -2.44     0.25    53.99    49.16     0.00     0.00
    55.00    55.00     0.00    45.27   -10.40    21.12    21.12    -2.53    -2.53     0.00    53.99    53.99     0.00     0.00
    55.00    60.00   -19.80    44.93   -13.31    21.12    21.24    -2.53    -2.62    -0.25    53.99    58.81     0.00     0.00
    55.00    65.00   -33.72    44.68   -16.12    21.12    21.45    -2.53    -2.72    -0.49    53.99    63.61     0.00     0.00
    55.00    70.00   -44.46    44.50   -18.87    21.12    21.80    -2.53    -2.81    -0.74    53.99    68.40     0.00     0.00
    55.00    75.00   -53.30    44.34   -21.60    21.12    22.35    -2.53    -2.91    -0.99    53.99    73.17     0.00     0.00
    55.00    80.00   -60.94    44.21   -24.32    21.12    23.15    -2.53    -3.00    -1.24    53.99    77.93     0.00     0.00
    55.00     0.00   -69.81    44.05    16.22    21.12    18.00    -2.53    -1.75     2.68    53.99     0.00     0.00     0.00
    55.00    -5.00   -60.49    44.22    18.88    21.12    17.25    -2.53    -1.73     2.92    53.99    -5.01     0.00     0.00
    55.00   -10.00   -51.64    44.37    21.52    21.12    16.48    -2.53    -1.72     3.16    53.99   -10.03     0.00     0.00
    55.00   -15.00   -42.88    44.52    24.16    21.12    15.73    -2.53    -1.72     3.40    53.99   -15.08     0.00     0.00
    55.00   -20.00   -33.90    44.68    26.80    21.12    15.09    -2.53    -1.75     3.64    53.99   -20.14     0.00     0.00
    55.00   -25.00   -24.36    44.85    29.44    21.12    14.67    -2.53    -1.79     3.88    53.99   -25.22     0.00     0.00
    55.00   -30.00   -13.92    45.03    32.08    21.12    14.65    -2.53    -1.87     4.12    53.99   -30.33     0.00     0.00
    55.00   -35.00    -2.10    45.24    34.75    21.12    15.29    -2.53    -1.97     4.36    53.99   -35.46     0.00     0.00
    55.00   -40.00    11.76    45.48    37.44    21.12    16.99    -2.53    -2.11     4.60    53.99   -40.62     0.00     0.00
    55.00   -45.00    28.65    45.77    40.17    21.12    20.43    -2.53    -2.30     4.84    53.99   -45.80     0.00     0.00
    55.00   -50.00    50.23    46.15    42.98    21.12    26.76    -2.53    -2.55     5.08    53.99   -51.00     0.00     0.00
    55.00   -55.00    79.57    46.66    45.91    21.12    38.15    -2.53    -2.89     5.31    53.99   -56.24     0.00     0.00
    55.00   -60.00   123.21    47.42    49.08    21.12    59.32    -2.53    -3.36     5.55    53.99   -61.51     0.00     0.00
    55.00   -65.00   199.07    48.74    52.81    21.12   103.36    -2.53    -4.04     5.79    53.99   -66.78     0.00     0.00
    55.00   -70.00   403.25    52.31    58.82    21.12   243.04    -2.53    -5.23     6.03    53.99   -71.93     0.00     0.00
    55.00   -75.00   673.35    57.02    64.76    21.12   431.35    -2.53    -6.00     6.17    53.99   -74.04     0.00  -658.47
    55.00   -80.00   687.06    57.26    65.71    21.12   405.99    -2.53    -6.03     6.24    53.99   -75.69     0.00 -1511.53
    60.00     0.00   -98.08    41.68    11.28    21.24    18.00    -2.62    -1.75     2.92    58.81     0.00     0.00     0.00
    60.00     5.00  -115.56    41.20     8.30    21.24    18.68    -2.62    -1.79     2.68    58.81     4.99     0.00     0.00
    60.00    10.00  -138.58    40.57     5.15    21.24    19.28    -2.62    -1.83     2.44    58.81     9.96     0.00     0.00
    60.00    15.00  -172.43    39.63     1.71    21.24    19.79    -2.62    -1.89     2.20    58.81    14.91     0.00     0.00
    60.00    20.00  -231.33    38.01    -2.44    21.24    20.19    -2.62    -1.95     1.96    58.81    19.85     0.00     0.00
    60.00    25.00  -371.51    34.15    -8.82    21.24    20.50    -2.62    -2.02     1.71    58.81    24.78     0.00     0.00
    60.00    30.00 -1297.12     8.66   -36.84    21.24    20.72    -2.62    -2.09     1.47    58.81    29.68     0.00     0.00
    60.00    35.00   601.17    60.94    12.90    21.24    20.87    -2.62    -2.17     1.23    58.81    34.57     0.00     0.00
    60.00    40.00   198.27    49.84    -0.74    21.24    20.96    -2.62    -2.26     0.98    58.81    39.45     0.00     0.00
    60.00    45.00    96.50    47.04    -6.09    21.24    21.02    -2.62    -2.34     0.74    58.81    44.31     0.00     0.00
    60.00    50.00    48.58    45.72    -9.96    21.24    21.06    -2.62    -2.44     0.49    58.81    49.16     0.00     0.00
    60.00    55.00    19.80    44.93   -13.31    21.24    21.12    -2.62    -2.53     0.25    58.81    53.99     0.00     0.00
    60.00    60.00     0.00    44.38   -16.41    21.24    21.24    -2.62    -2.62     0.00    58.81    58.81     0.00     0.00
    60.00    65.00   -14.88    43.97   -19.39    21.24    21.45    -2.62    -2.72    -0.25    58.81    63.61     0.00     0.00
    60.00    70.00   -26.78    43.64   -22.29    21.24    21.80    -2.62    -2.81    -0.49    58.81    68.40     0.00     0.00
    60.00    75.00   -36.77    43.37   -25.14    21.24    22.35    -2.62    -2.91    -0.74    58.81    73.17     0.00     0.00
    60.00    80.00   -45.46    43.13   -27.96    21.24    23.15    -2.62    -3.00    -0.99    58.81    77.93     0.00     0.00
    60.00     0.00   -98.08    41.68    11.28    21.24    18.00    -2.62    -1.75     2.92    58.81     0.00     0.00     0.00
    60.00    -5.00   -83.68    42.08    14.18    21.24    17.25    -2.62    -1.73     3.17    58.81    -5.01     0.00     0.00
    60.00   -10.00   -71.02    42.43    17.02    21.24    16.48    -2.62    -1.72     3.41    58.81   -10.03     0.00     0.00
    60.00   -15.00   -59.28    42.75    19.83    21.24    15.73    -2.62    -1.72     3.65    58.81   -15.08     0.00     0.00
    60.00   -20.00   -47.86    43.06    22.62    21.24    15.09    -2.62    -1.75     3.89    58.81   -20.14     0.00     0.00
    60.00   -25.00   -36.26    43.38    25.41    21.24    14.67    -2.62    -1.79     4.13    58.81   -25.22     0.00     0.00
    60.00   -30.00   -23.99    43.72    28.21    21.24    14.65    -2.62    -1.87     4.37    58.81   -30.33     0.00     0.00
    60.00   -35.00   -10.48    44.09    31.04    21.24    15.29    -2.62    -1.97     4.61    58.81   -35.46     0.00     0.00
    60.00   -40.00     5.01    44.52    33.92    21.24    16.99    -2.62    -2.11     4.85    58.81   -40.62     0.00     0.00
    60.00   -45.00    23.60    45.03    36.87    21.24    20.43    -2.62    -2.30     5.09    58.81   -45.80     0.00     0.00
    60.00   -50.00    47.11    45.68    39.95    21.24    26.76    -2.62    -2.55     5.32    58.81   -51.00     0.00     0.00
    60.00   -55.00    78.87    46.55    43.24    21.24    38.15    -2.62    -2.89     5.56    58.81   -56.24     0.00     0.00
    60.00   -60.00   126.08    47.85    46.95    21.24    59.32    -2.62    -3.36     5.80    58.81   -61.51     0.00     0.00
    60.00   -65.00   208.68    50.13    51.64    21.24   103.36    -2.62    -4.04     6.03    58.81   -66.78     0.00     0.00
    60.00   -70.00   436.61    56.41    60.36    21.24   243.04    -2.62    -5.23     6.28    58.81   -71.93     0.00     0.00
    60.00   -75.00   752.41    65.10    70.28    21.24   431.35    -2.62    -6.00     6.42    58.81   -74.04     0.00  -658.47
    60.00   -80.00   767.67    65.52    71.42    21.24   405.99    -2.62    -6.03     6.49    58.81   -75.69     0.00 -1511.53
    65.00     0.00  -140.96    38.08     5.12    21.45    18.00    -2.72    -1.75     3.17    63.61     0.00     0.00     0.00
    65.00     5.00  -172.86    36.87     1.41    21.45    18.68    -2.72    -1.79     2.93    63.61     4.99     0.00     0.00
    65.00    10.00  -221.11    35.05    -2.93    21.45    19.28    -2.72    -1.83     2.69    63.61     9.96     0.00     0.00
    65.00    15.00  -308.08    31.76    -8.73    21.45    19.79    -2.72    -1.89     2.44    63.61    14.91     0.00     0.00
    65.00    20.00  -528.28    23.44   -19.58    21.45    20.19    -2.72    -1.95     2.20    63.61    19.85     0.00     0.00
    65.00    25.00 -2560.87   -53.42   -98.95    21.45    20.50    -2.72    -2.02     1.96    63.61    24.78     0.00     0.00
    65.00    30.00   734.11    71.17    23.10    21.45    20.72    -2.72    -2.09     1.72    63.61    29.68     0.00     0.00
