
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             Demo data                                           

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
    35.00    45.00   -18.44   -19.99    -3.20    11.87   -15.28   -16.80    -3.19    -1.55    -1.65    48.43    83.56    13.22    13.34
    35.00    50.00   -20.48   -22.60    -3.30    12.03   -19.90   -18.65    -3.96    -2.12    -1.84    53.65    81.56    11.96    12.10
    35.00    55.00   -22.53   -25.37    -3.38    12.20   -25.12   -20.55    -4.83    -2.85    -1.98    59.01    79.60    10.92    11.09
    35.00    60.00   -24.58   -28.35    -3.43    12.38   -31.01   -22.54    -5.82    -3.77    -2.05    64.83    77.66    10.06    10.24
    35.00    65.00   -26.65   -31.63    -3.45    12.55   -37.65   -24.67    -6.96    -4.97    -1.98    71.49    75.75     9.33     9.53
    35.00     0.00    -0.16     0.16    -1.20    10.59     3.59    -0.16     0.00    -0.32     0.32 ********   103.14 ******** ********
    35.00    -5.00     1.92     2.22    -0.85    10.46     3.36     1.88     0.04    -0.30     0.34  -832.64   105.57   107.86   107.81
    35.00   -10.00     4.02     4.26    -0.47    10.33     2.68     3.86     0.16    -0.24     0.40  -157.81   108.06    56.18    56.15
    35.00   -15.00     6.15     6.30    -0.06    10.20     1.55     5.79     0.35    -0.15     0.50   -42.14   110.63    38.08    38.08
    35.00   -20.00     8.31     8.33     0.38    10.07    -0.05     7.68     0.63    -0.01     0.64    -1.88   113.28    28.86    28.87
    35.00   -25.00    10.52    10.35     0.86     9.93    -2.11     9.53     0.99     0.17     0.82    17.45   116.02    23.27    23.31
    35.00   -30.00    12.78    12.37     1.37     9.78    -4.65    11.36     1.42     0.41     1.01    28.86   118.88    19.52    19.58
    35.00   -35.00    15.10    14.39     1.93     9.62    -7.68    13.17     1.93     0.71     1.22    36.76   121.86    16.83    16.90
    35.00   -40.00    17.50    16.41     2.53     9.45   -11.22    14.98     2.52     1.08     1.44    42.97   124.98    14.80    14.90
    35.00   -45.00    19.99    18.44     3.19     9.26   -15.28    16.80     3.19     1.55     1.65    48.43   128.27    13.22    13.34
    35.00   -50.00    22.60    20.48     3.91     9.05   -19.90    18.65     3.96     2.12     1.84    53.65   131.77    11.96    12.10
    35.00   -55.00    25.37    22.53     4.71     8.82   -25.12    20.55     4.83     2.85     1.98    59.01   135.52    10.92    11.09
    35.00   -60.00    28.35    24.58     5.61     8.54   -31.01    22.54     5.82     3.77     2.05    64.83   139.59    10.06    10.24
    35.00   -65.00    31.63    26.65     6.64     8.22   -37.65    24.67     6.96     4.97     1.98    71.49   144.10     9.33     9.53
    40.00     0.00    -0.19     0.19    -1.39    10.60     3.63    -0.19     0.00    -0.38     0.38 ********   103.25 ******** ********
    40.00     5.00    -2.24    -1.88    -1.71    10.73     3.40    -1.84    -0.03     0.36    -0.40 -1051.70   100.89   106.74   106.68
    40.00    10.00    -4.28    -3.97    -2.00    10.86     2.73    -3.82    -0.15     0.31    -0.46  -203.78    98.59    55.98    55.95
    40.00    15.00    -6.31    -6.09    -2.27    10.99     1.59    -5.74    -0.35     0.21    -0.56   -61.40    96.34    38.04    38.03
    40.00    20.00    -8.32    -8.25    -2.52    11.13    -0.01    -7.62    -0.62     0.08    -0.70   -12.36    94.14    28.86    28.88
    40.00    25.00   -10.34   -10.44    -2.73    11.27    -2.07    -9.47    -0.97    -0.11    -0.87    10.90    91.98    23.29    23.33
    40.00    30.00   -12.35   -12.69    -2.93    11.42    -4.61   -11.29    -1.40    -0.34    -1.06    24.40    89.86    19.55    19.60
    40.00    35.00   -14.36   -15.00    -3.10    11.57    -7.64   -13.09    -1.91    -0.64    -1.27    33.52    87.78    16.86    16.94
    40.00    40.00   -16.38   -17.39    -3.25    11.73   -11.18   -14.90    -2.49    -1.01    -1.48    40.53    85.73    14.83    14.93
    40.00    45.00   -18.40   -19.87    -3.37    11.89   -15.24   -16.71    -3.16    -1.47    -1.69    46.51    83.72    13.25    13.37
    40.00    50.00   -20.43   -22.47    -3.47    12.06   -19.86   -18.55    -3.92    -2.04    -1.88    52.10    81.74    11.99    12.13
    40.00    55.00   -22.46   -25.22    -3.54    12.24   -25.09   -20.44    -4.77    -2.76    -2.02    57.72    79.78    10.95    11.11
    40.00    60.00   -24.51   -28.17    -3.59    12.41   -30.98   -22.42    -5.75    -3.66    -2.09    63.72    77.85    10.09    10.27
    40.00    65.00   -26.57   -31.42    -3.62    12.59   -37.62   -24.54    -6.88    -4.85    -2.03    70.48    75.94     9.36     9.56
    40.00     0.00    -0.19     0.19    -1.39    10.60     3.63    -0.19     0.00    -0.38     0.38 ********   103.25 ******** ********
    40.00    -5.00     1.88     2.24    -1.04    10.47     3.40     1.84     0.03    -0.36     0.40 -1051.70   105.67   106.74   106.68
    40.00   -10.00     3.97     4.28    -0.66    10.34     2.73     3.82     0.15    -0.31     0.46  -203.78   108.15    55.98    55.95
    40.00   -15.00     6.09     6.31    -0.25    10.21     1.59     5.74     0.35    -0.21     0.56   -61.40   110.71    38.04    38.03
    40.00   -20.00     8.25     8.32     0.19    10.08    -0.01     7.62     0.62    -0.08     0.70   -12.36   113.36    28.86    28.88
    40.00   -25.00    10.44    10.34     0.66     9.94    -2.07     9.47     0.97     0.11     0.87    10.90   116.10    23.29    23.33
    40.00   -30.00    12.69    12.35     1.18     9.79    -4.61    11.29     1.40     0.34     1.06    24.40   118.95    19.55    19.60
    40.00   -35.00    15.00    14.36     1.73     9.63    -7.64    13.09     1.91     0.64     1.27    33.52   121.92    16.86    16.94
    40.00   -40.00    17.39    16.38     2.33     9.46   -11.18    14.90     2.49     1.01     1.48    40.53   125.03    14.83    14.93
    40.00   -45.00    19.87    18.40     2.99     9.27   -15.24    16.71     3.16     1.47     1.69    46.51   128.31    13.25    13.37
    40.00   -50.00    22.47    20.43     3.71     9.06   -19.86    18.55     3.92     2.04     1.88    52.10   131.80    11.99    12.13
    40.00   -55.00    25.22    22.46     4.50     8.83   -25.09    20.44     4.77     2.76     2.02    57.72   135.54    10.95    11.11
    40.00   -60.00    28.17    24.51     5.40     8.55   -30.98    22.42     5.75     3.66     2.09    63.72   139.61    10.09    10.27
    40.00   -65.00    31.42    26.57     6.42     8.23   -37.62    24.54     6.88     4.85     2.03    70.48   144.10     9.36     9.56
    45.00     0.00    -0.23     0.23    -1.57    10.61     3.56    -0.23     0.00    -0.45     0.45 ********   103.35 ******** ********
    45.00     5.00    -2.27    -1.84    -1.89    10.74     3.34    -1.80    -0.03     0.43    -0.47 -1306.88   101.00   105.53   105.48
    45.00    10.00    -4.30    -3.92    -2.19    10.87     2.66    -3.77    -0.15     0.38    -0.52  -255.50    98.71    55.75    55.72
    45.00    15.00    -6.31    -6.03    -2.45    11.01     1.52    -5.69    -0.34     0.28    -0.62   -82.82    96.46    37.99    37.98
    45.00    20.00    -8.33    -8.18    -2.70    11.15    -0.08    -7.57    -0.61     0.15    -0.76   -23.97    94.27    28.86    28.88
    45.00    25.00   -10.33   -10.37    -2.91    11.29    -2.14    -9.40    -0.96    -0.04    -0.93     3.65    92.12    23.31    23.34
    45.00    30.00   -12.33   -12.60    -3.11    11.44    -4.68   -11.22    -1.38    -0.27    -1.11    19.46    90.00    19.57    19.63
    45.00    35.00   -14.34   -14.90    -3.28    11.60    -7.71   -13.02    -1.88    -0.56    -1.32    29.96    87.93    16.89    16.96
    45.00    40.00   -16.34   -17.27    -3.42    11.76   -11.25   -14.81    -2.46    -0.93    -1.53    37.83    85.89    14.86    14.96
    45.00    45.00   -18.35   -19.74    -3.54    11.92   -15.31   -16.62    -3.12    -1.39    -1.74    44.40    83.88    13.29    13.40
    45.00    50.00   -20.37   -22.32    -3.64    12.09   -19.94   -18.45    -3.87    -1.95    -1.92    50.40    81.91    12.02    12.16
    45.00    55.00   -22.40   -25.05    -3.71    12.27   -25.16   -20.33    -4.72    -2.66    -2.06    56.30    79.96    10.98    11.14
    45.00    60.00   -24.43   -27.99    -3.76    12.45   -31.05   -22.30    -5.69    -3.55    -2.13    62.49    78.04    10.12    10.30
    45.00    65.00   -26.48   -31.20    -3.78    12.63   -37.69   -24.40    -6.80    -4.72    -2.08    69.37    76.14     9.39     9.59
    45.00     0.00    -0.23     0.23    -1.57    10.61     3.56    -0.23     0.00    -0.45     0.45 ********   103.35 ******** ********
    45.00    -5.00     1.84     2.27    -1.23    10.48     3.34     1.80     0.03    -0.43     0.47 -1306.88   105.76   105.53   105.48
    45.00   -10.00     3.92     4.30    -0.85    10.35     2.66     3.77     0.15    -0.38     0.52  -255.50   108.24    55.75    55.72
    45.00   -15.00     6.03     6.31    -0.45    10.22     1.52     5.69     0.34    -0.28     0.62   -82.82   110.79    37.99    37.98
    45.00   -20.00     8.18     8.33    -0.01    10.09    -0.08     7.57     0.61    -0.15     0.76   -23.97   113.43    28.86    28.88
    45.00   -25.00    10.37    10.33     0.46     9.95    -2.14     9.40     0.96     0.04     0.93     3.65   116.16    23.31    23.34
    45.00   -30.00    12.60    12.33     0.97     9.80    -4.68    11.22     1.38     0.27     1.11    19.46   119.00    19.57    19.63
    45.00   -35.00    14.90    14.34     1.53     9.64    -7.71    13.02     1.88     0.56     1.32    29.96   121.97    16.89    16.96
    45.00   -40.00    17.27    16.34     2.13     9.47   -11.25    14.81     2.46     0.93     1.53    37.83   125.07    14.86    14.96
    45.00   -45.00    19.74    18.35     2.78     9.29   -15.31    16.62     3.12     1.39     1.74    44.40   128.35    13.29    13.40
    45.00   -50.00    22.32    20.37     3.50     9.08   -19.94    18.45     3.87     1.95     1.92    50.40   131.82    12.02    12.16
    45.00   -55.00    25.05    22.40     4.29     8.84   -25.16    20.33     4.72     2.66     2.06    56.30   135.55    10.98    11.14
    45.00   -60.00    27.99    24.43     5.18     8.56   -31.05    22.30     5.69     3.55     2.13    62.49   139.60    10.12    10.30
    45.00   -65.00    31.20    26.48     6.19     8.24   -37.69    24.40     6.80     4.72     2.08    69.37   144.08     9.39     9.59
    50.00     0.00    -0.26     0.26    -1.77    10.63     3.38    -0.26     0.00    -0.52     0.52 ********   103.45 ******** ********
    50.00     5.00    -2.30    -1.79    -2.09    10.76     3.16    -1.76    -0.03     0.51    -0.54 -1605.06   101.10   104.24   104.19
    50.00    10.00    -4.32    -3.87    -2.38    10.89     2.48    -3.72    -0.14     0.45    -0.59  -313.67    98.82    55.50    55.47
    50.00    15.00    -6.33    -5.97    -2.64    11.03     1.34    -5.63    -0.33     0.36    -0.69  -106.65    96.58    37.92    37.91
    50.00    20.00    -8.33    -8.11    -2.88    11.17    -0.26    -7.50    -0.60     0.22    -0.82   -36.81    94.39    28.85    28.87
    50.00    25.00   -10.32   -10.28    -3.10    11.31    -2.32    -9.34    -0.95     0.04    -0.99    -4.34    92.25    23.32    23.36
    50.00    30.00   -12.32   -12.51    -3.29    11.47    -4.86   -11.15    -1.36    -0.19    -1.17    14.03    90.14    19.60    19.65
    50.00    35.00   -14.31   -14.80    -3.46    11.62    -7.89   -12.94    -1.86    -0.48    -1.38    26.03    88.08    16.91    16.99
    50.00    40.00   -16.31   -17.16    -3.60    11.78   -11.43   -14.73    -2.43    -0.85    -1.58    34.87    86.04    14.89    14.99
    50.00    45.00   -18.31   -19.61    -3.72    11.95   -15.50   -16.52    -3.09    -1.30    -1.79    42.08    84.05    13.32    13.43
    50.00    50.00   -20.32   -22.17    -3.81    12.13   -20.12   -18.35    -3.83    -1.86    -1.97    48.52    82.08    12.05    12.19
    50.00    55.00   -22.33   -24.89    -3.88    12.31   -25.35   -20.22    -4.67    -2.55    -2.11    54.73    80.14    11.01    11.17
    50.00    60.00   -24.36   -27.79    -3.93    12.49   -31.23   -22.18    -5.62    -3.44    -2.18    61.14    78.22    10.15    10.33
    50.00    65.00   -26.40   -30.97    -3.95    12.68   -37.87   -24.26    -6.72    -4.58    -2.14    68.16    76.33     9.42     9.62
    50.00     0.00    -0.26     0.26    -1.77    10.63     3.38    -0.26     0.00    -0.52     0.52 ********   103.45 ******** ********
    50.00    -5.00     1.79     2.30    -1.42    10.50     3.16     1.76     0.03    -0.51     0.54 -1605.06   105.85   104.24   104.19
    50.00   -10.00     3.87     4.32    -1.05    10.37     2.48     3.72     0.14    -0.45     0.59  -313.67   108.32    55.50    55.47
    50.00   -15.00     5.97     6.33    -0.65    10.23     1.34     5.63     0.33    -0.36     0.69  -106.65   110.87    37.92    37.91
    50.00   -20.00     8.11     8.33    -0.21    10.10    -0.26     7.50     0.60    -0.22     0.82   -36.81   113.50    28.85    28.87
    50.00   -25.00    10.28    10.32     0.26     9.96    -2.32     9.34     0.95    -0.04     0.99    -4.34   116.22    23.32    23.36
    50.00   -30.00    12.51    12.32     0.77     9.81    -4.86    11.15     1.36     0.19     1.17    14.03   119.05    19.60    19.65
    50.00   -35.00    14.80    14.31     1.32     9.66    -7.89    12.94     1.86     0.48     1.38    26.03   122.00    16.91    16.99
    50.00   -40.00    17.16    16.31     1.92     9.48   -11.43    14.73     2.43     0.85     1.58    34.87   125.10    14.89    14.99
    50.00   -45.00    19.61    18.31     2.57     9.30   -15.50    16.52     3.09     1.30     1.79    42.08   128.36    13.32    13.43
    50.00   -50.00    22.17    20.32     3.28     9.09   -20.12    18.35     3.83     1.86     1.97    48.52   131.83    12.05    12.19
    50.00   -55.00    24.89    22.33     4.07     8.85   -25.35    20.22     4.67     2.55     2.11    54.73   135.54    11.01    11.17
    50.00   -60.00    27.79    24.36     4.95     8.57   -31.23    22.18     5.62     3.44     2.18    61.14   139.58    10.15    10.33
    50.00   -65.00    30.97    26.40     5.96     8.25   -37.87    24.26     6.72     4.58     2.14    68.16   144.03     9.42     9.62
    55.00     0.00    -0.30     0.30    -1.97    10.64     3.09    -0.30     0.00    -0.60     0.60 ********   103.53 ******** ********
    55.00     5.00    -2.33    -1.74    -2.28    10.77     2.86    -1.71    -0.03     0.58    -0.61 -1954.96   101.20   102.89   102.84
    55.00    10.00    -4.34    -3.81    -2.57    10.91     2.19    -3.67    -0.14     0.53    -0.67  -379.12    98.92    55.23    55.20
    55.00    15.00    -6.34    -5.90    -2.83    11.04     1.05    -5.58    -0.33     0.44    -0.76  -133.11    96.69    37.84    37.84
    55.00    20.00    -8.33    -8.03    -3.07    11.19    -0.55    -7.44    -0.59     0.30    -0.89   -50.99    94.51    28.84    28.85
    55.00    25.00   -10.32   -10.20    -3.28    11.34    -2.61    -9.27    -0.93     0.12    -1.05   -13.14    92.38    23.33    23.37
    55.00    30.00   -12.31   -12.41    -3.47    11.49    -5.15   -11.07    -1.35    -0.11    -1.24     8.05    90.28    19.62    19.67
    55.00    35.00   -14.29   -14.69    -3.64    11.65    -8.18   -12.85    -1.83    -0.40    -1.44    21.72    88.22    16.94    17.02
    55.00    40.00   -16.28   -17.04    -3.78    11.81   -11.72   -14.64    -2.40    -0.76    -1.64    31.61    86.20    14.92    15.02
    55.00    45.00   -18.27   -19.47    -3.90    11.98   -15.79   -16.43    -3.05    -1.20    -1.84    39.53    84.21    13.34    13.46
    55.00    50.00   -20.27   -22.02    -3.99    12.16   -20.41   -18.24    -3.78    -1.76    -2.02    46.46    82.25    12.08    12.22
    55.00    55.00   -22.27   -24.71    -4.06    12.34   -25.63   -20.11    -4.61    -2.44    -2.17    53.02    80.32    11.04    11.20
    55.00    60.00   -24.29   -27.60    -4.10    12.53   -31.51   -22.05    -5.55    -3.31    -2.24    59.67    78.41    10.18    10.36
    55.00    65.00   -26.31   -30.75    -4.12    12.72   -38.15   -24.11    -6.63    -4.43    -2.20    66.84    76.53     9.45     9.64
    55.00     0.00    -0.30     0.30    -1.97    10.64     3.09    -0.30     0.00    -0.60     0.60 ********   103.53 ******** ********
    55.00    -5.00     1.74     2.33    -1.62    10.51     2.86     1.71     0.03    -0.58     0.61 -1954.96   105.93   102.89   102.84
    55.00   -10.00     3.81     4.34    -1.25    10.38     2.19     3.67     0.14    -0.53     0.67  -379.12   108.39    55.23    55.20
    55.00   -15.00     5.90     6.34    -0.85    10.25     1.05     5.58     0.33    -0.44     0.76  -133.11   110.93    37.84    37.84
    55.00   -20.00     8.03     8.33    -0.42    10.11    -0.55     7.44     0.59    -0.30     0.89   -50.99   113.55    28.84    28.85
    55.00   -25.00    10.20    10.32     0.05     9.97    -2.61     9.27     0.93    -0.12     1.05   -13.14   116.27    23.33    23.37
    55.00   -30.00    12.41    12.31     0.56     9.82    -5.15    11.07     1.35     0.11     1.24     8.05   119.09    19.62    19.67
    55.00   -35.00    14.69    14.29     1.11     9.67    -8.18    12.85     1.83     0.40     1.44    21.72   122.03    16.94    17.02
    55.00   -40.00    17.04    16.28     1.70     9.50   -11.72    14.64     2.40     0.76     1.64    31.61   125.12    14.92    15.02
    55.00   -45.00    19.47    18.27     2.35     9.31   -15.79    16.43     3.05     1.20     1.84    39.53   128.37    13.34    13.46
    55.00   -50.00    22.02    20.27     3.06     9.10   -20.41    18.24     3.78     1.76     2.02    46.46   131.82    12.08    12.22
    55.00   -55.00    24.71    22.27     3.84     8.86   -25.63    20.11     4.61     2.44     2.17    53.02   135.52    11.04    11.20
    55.00   -60.00    27.60    24.29     4.72     8.59   -31.51    22.05     5.55     3.31     2.24    59.67   139.53    10.18    10.36
    55.00   -65.00    30.75    26.31     5.72     8.26   -38.15    24.11     6.63     4.43     2.20    66.84   143.96     9.45     9.64
    60.00     0.00    -0.34     0.34    -2.17    10.65     2.69    -0.34     0.00    -0.68     0.69 ********   103.62 ******** ********
    60.00     5.00    -2.36    -1.69    -2.48    10.79     2.46    -1.66    -0.03     0.67    -0.69 -2367.77   101.29   101.47   101.42
    60.00    10.00    -4.36    -3.75    -2.77    10.92     1.78    -3.61    -0.14     0.61    -0.75  -452.87    99.02    54.92    54.90
    60.00    15.00    -6.35    -5.83    -3.03    11.06     0.65    -5.51    -0.32     0.52    -0.84  -162.51    96.80    37.75    37.75
    60.00    20.00    -8.34    -7.95    -3.26    11.21    -0.95    -7.37    -0.58     0.39    -0.97   -66.64    94.63    28.82    28.83
    60.00    25.00   -10.32   -10.11    -3.48    11.36    -3.01    -9.19    -0.92     0.21    -1.12   -22.81    92.50    23.34    23.37
    60.00    30.00   -12.29   -12.31    -3.66    11.51    -5.55   -10.99    -1.32    -0.02    -1.30     1.50    90.42    19.63    19.69
    60.00    35.00   -14.27   -14.58    -3.83    11.67    -8.58   -12.77    -1.81    -0.31    -1.50    16.99    88.37    16.96    17.04
    60.00    40.00   -16.25   -16.91    -3.97    11.84   -12.12   -14.54    -2.37    -0.66    -1.70    28.04    86.35    14.95    15.05
    60.00    45.00   -18.23   -19.33    -4.08    12.02   -16.18   -16.33    -3.01    -1.10    -1.90    36.73    84.37    13.37    13.49
    60.00    50.00   -20.22   -21.86    -4.17    12.20   -20.80   -18.13    -3.73    -1.65    -2.08    44.20    82.42    12.11    12.25
    60.00    55.00   -22.21   -24.54    -4.24    12.38   -26.02   -19.99    -4.55    -2.33    -2.22    51.14    80.50    11.07    11.23
    60.00    60.00   -24.21   -27.39    -4.28    12.57   -31.90   -21.92    -5.48    -3.18    -2.30    58.05    78.60    10.21    10.38
    60.00    65.00   -26.23   -30.51    -4.30    12.76   -38.52   -23.96    -6.55    -4.28    -2.27    65.40    76.73     9.47     9.67
    60.00     0.00    -0.34     0.34    -2.17    10.65     2.69    -0.34     0.00    -0.68     0.69 ********   103.62 ******** ********
    60.00    -5.00     1.69     2.36    -1.83    10.52     2.46     1.66     0.03    -0.67     0.69 -2367.77   106.01   101.47   101.42
    60.00   -10.00     3.75     4.36    -1.46    10.39     1.78     3.61     0.14    -0.61     0.75  -452.87   108.46    54.92    54.90
    60.00   -15.00     5.83     6.35    -1.06    10.26     0.65     5.51     0.32    -0.52     0.84  -162.51   110.99    37.75    37.75
    60.00   -20.00     7.95     8.34    -0.63    10.12    -0.95     7.37     0.58    -0.39     0.97   -66.64   113.60    28.82    28.83
    60.00   -25.00    10.11    10.32    -0.16     9.98    -3.01     9.19     0.92    -0.21     1.12   -22.81   116.30    23.34    23.37
    60.00   -30.00    12.31    12.29     0.34     9.84    -5.55    10.99     1.32     0.02     1.30     1.50   119.12    19.63    19.69
    60.00   -35.00    14.58    14.27     0.89     9.68    -8.58    12.77     1.81     0.31     1.50    16.99   122.05    16.96    17.04
    60.00   -40.00    16.91    16.25     1.48     9.51   -12.12    14.54     2.37     0.66     1.70    28.04   125.12    14.95    15.05
    60.00   -45.00    19.33    18.23     2.12     9.32   -16.18    16.33     3.01     1.10     1.90    36.73   128.36    13.37    13.49
    60.00   -50.00    21.86    20.22     2.83     9.11   -20.80    18.13     3.73     1.65     2.08    44.20   131.80    12.11    12.25
    60.00   -55.00    24.54    22.21     3.61     8.88   -26.02    19.99     4.55     2.33     2.22    51.14   135.48    11.07    11.23
    60.00   -60.00    27.39    24.21     4.48     8.60   -31.90    21.92     5.48     3.18     2.30    58.05   139.47    10.21    10.38
    60.00   -65.00    30.51    26.23     5.47     8.28   -38.52    23.96     6.55     4.28     2.27    65.40   143.87     9.47     9.67
     0.00     0.00     0.00     0.00     0.00    10.52     0.00     0.00     0.00     0.00     0.00     0.00   102.24 ******** ********
     0.00     5.00    -2.11    -2.13    -0.33    10.64    -0.22    -2.09    -0.04    -0.02    -0.03    42.52    99.85   113.21   113.16
     0.00    10.00    -4.21    -4.29    -0.64    10.76    -0.90    -4.11    -0.18    -0.08    -0.10    43.36    97.52    56.85    56.82
     0.00    15.00    -6.30    -6.48    -0.93    10.88    -2.02    -6.09    -0.39    -0.17    -0.22    44.44    95.23    38.05    38.05
     0.00    20.00    -8.39    -8.70    -1.18    11.01    -3.61    -8.01    -0.69    -0.31    -0.37    45.76    93.00    28.65    28.67
     0.00    25.00   -10.47   -10.97    -1.42    11.14    -5.66    -9.90    -1.07    -0.50    -0.56    47.34    90.80    23.01    23.05
     0.00    30.00   -12.54   -13.30    -1.63    11.27    -8.18   -11.77    -1.53    -0.75    -0.77    49.21    88.65    19.25    19.31
     0.00    35.00   -14.63   -15.69    -1.81    11.41   -11.18   -13.62    -2.07    -1.06    -1.00    51.41    86.53    16.56    16.65
     0.00    40.00   -16.71   -18.16    -1.97    11.55   -14.69   -15.47    -2.69    -1.45    -1.24    53.99    84.45    14.54    14.65
     0.00    45.00   -18.81   -20.75    -2.11    11.70   -18.72   -17.34    -3.40    -1.94    -1.46    57.00    82.39    12.98    13.11
     0.00    50.00   -20.91   -23.46    -2.22    11.85   -23.31   -19.25    -4.22    -2.55    -1.66    60.56    80.36    11.72    11.87
     0.00    55.00   -23.02   -26.35    -2.31    12.00   -28.49   -21.21    -5.14    -3.33    -1.81    64.78    78.37    10.70    10.87
     0.00    60.00   -25.15   -29.49    -2.37    12.16   -34.34   -23.29    -6.20    -4.33    -1.87    69.88    76.39     9.85    10.04
     0.00    65.00   -27.30   -32.97    -2.40    12.31   -40.96   -25.53    -7.44    -5.67    -1.77    76.21    74.44     9.13     9.34
     0.00     0.00     0.00     0.00     0.00    10.52     0.00     0.00     0.00     0.00     0.00     0.00   102.24 ******** ********
     0.00    -5.00     2.13     2.11     0.36    10.39    -0.22     2.09     0.04     0.02     0.03    42.52   104.69   113.21   113.16
     0.00   -10.00     4.29     4.21     0.75    10.27    -0.90     4.11     0.18     0.08     0.10    43.36   107.21    56.85    56.82
     0.00   -15.00     6.48     6.30     1.17    10.14    -2.02     6.09     0.39     0.17     0.22    44.44   109.80    38.05    38.05
     0.00   -20.00     8.70     8.39     1.63    10.01    -3.61     8.01     0.69     0.31     0.37    45.76   112.47    28.65    28.67
     0.00   -25.00    10.97    10.47     2.11     9.87    -5.66     9.90     1.07     0.50     0.56    47.34   115.24    23.01    23.05
     0.00   -30.00    13.30    12.54     2.64     9.73    -8.18    11.77     1.53     0.75     0.77    49.21   118.12    19.25    19.31
     0.00   -35.00    15.69    14.63     3.21     9.57   -11.18    13.62     2.07     1.06     1.00    51.41   121.12    16.56    16.65
     0.00   -40.00    18.16    16.71     3.82     9.40   -14.69    15.47     2.69     1.45     1.24    53.99   124.27    14.54    14.65
     0.00   -45.00    20.75    18.81     4.50     9.22   -18.72    17.34     3.40     1.94     1.46    57.00   127.58    12.98    13.11
     0.00   -50.00    23.46    20.91     5.23     9.01   -23.31    19.25     4.22     2.55     1.66    60.56   131.10    11.72    11.87
     0.00   -55.00    26.35    23.02     6.05     8.78   -28.49    21.21     5.14     3.33     1.81    64.78   134.88    10.70    10.87
     0.00   -60.00    29.49    25.15     6.98     8.52   -34.34    23.29     6.20     4.33     1.87    69.88   138.98     9.85    10.04
     0.00   -65.00    32.97    27.30     8.04     8.21   -40.96    25.53     7.44     5.67     1.77    76.21   143.51     9.13     9.34
    -5.00     0.00     0.01    -0.01     0.16    10.51    -0.99     0.01     0.00     0.03    -0.03     0.00   102.09 ******** ********
    -5.00     5.00    -2.11    -2.15    -0.18    10.63    -1.22    -2.11    -0.05    -0.05     0.00   104.41    99.70   113.57   113.52
    -5.00    10.00    -4.21    -4.32    -0.49    10.75    -1.89    -4.14    -0.18    -0.10    -0.07    58.83    97.36    56.84    56.81
    -5.00    15.00    -6.31    -6.51    -0.77    10.87    -3.02    -6.12    -0.39    -0.20    -0.19    51.23    95.08    38.00    38.00
    -5.00    20.00    -8.40    -8.75    -1.03    11.00    -4.60    -8.05    -0.69    -0.34    -0.35    49.51    92.84    28.60    28.62
    -5.00    25.00   -10.49   -11.02    -1.27    11.13    -6.64    -9.95    -1.08    -0.53    -0.54    49.68    90.64    22.96    23.00
    -5.00    30.00   -12.58   -13.36    -1.48    11.26    -9.16   -11.82    -1.54    -0.78    -0.76    50.78    88.49    19.20    19.27
    -5.00    35.00   -14.67   -15.76    -1.66    11.39   -12.16   -13.68    -2.08    -1.09    -0.99    52.52    86.37    16.52    16.60
    -5.00    40.00   -16.76   -18.25    -1.83    11.53   -15.66   -15.54    -2.71    -1.49    -1.23    54.80    84.28    14.50    14.61
    -5.00    45.00   -18.86   -20.84    -1.96    11.68   -19.69   -17.41    -3.43    -1.98    -1.45    57.63    82.22    12.94    13.07
    -5.00    50.00   -20.98   -23.57    -2.08    11.82   -24.27   -19.32    -4.25    -2.59    -1.65    61.05    80.19    11.69    11.84
    -5.00    55.00   -23.10   -26.48    -2.17    11.98   -29.44   -21.30    -5.18    -3.38    -1.80    65.19    78.19    10.67    10.84
    -5.00    60.00   -25.24   -29.63    -2.23    12.13   -35.28   -23.38    -6.25    -4.39    -1.86    70.25    76.21     9.82    10.01
    -5.00    65.00   -27.40   -33.14    -2.26    12.28   -41.89   -25.64    -7.50    -5.74    -1.76    76.58    74.26     9.10     9.31
    -5.00     0.00     0.01    -0.01     0.16    10.51    -0.99     0.01     0.00     0.03    -0.03     0.00   102.09 ******** ********
    -5.00    -5.00     2.15     2.11     0.52    10.38    -1.22     2.11     0.05     0.05     0.00   104.41   104.54   113.57   113.52
    -5.00   -10.00     4.32     4.21     0.91    10.26    -1.89     4.14     0.18     0.10     0.07    58.83   107.06    56.84    56.81
    -5.00   -15.00     6.51     6.31     1.34    10.14    -3.02     6.12     0.39     0.20     0.19    51.23   109.65    38.00    38.00
    -5.00   -20.00     8.75     8.40     1.79    10.00    -4.60     8.05     0.69     0.34     0.35    49.51   112.32    28.60    28.62
    -5.00   -25.00    11.02    10.49     2.28     9.87    -6.64     9.95     1.08     0.53     0.54    49.68   115.09    22.96    23.00
    -5.00   -30.00    13.36    12.58     2.81     9.72    -9.16    11.82     1.54     0.78     0.76    50.78   117.97    19.20    19.27
    -5.00   -35.00    15.76    14.67     3.38     9.57   -12.16    13.68     2.08     1.09     0.99    52.52   120.97    16.52    16.60
